Bid,tipoResiduo,nivelLlenado,estado,fecha
1523924,envases,0,OK,2021-10-06T10:03:54
1523923,resto,0,OK,2021-10-06T09:23:47
1523922,resto,0,OK,2021-10-06T09:35:39
1523907,resto,4,OK,2021-10-06T09:40:29
1523905,resto,0,OK,2021-10-06T11:02:53
1523906,resto,10,LLENA,2021-10-06T10:13:09
1523925,resto,2,OK,2021-10-06T10:24:22
1523926,resto,0,OK,2021-10-06T09:25:36
1523919,resto,2,OK,2021-10-06T10:46:23
1523927,resto,4,OK,2021-10-06T10:34:53
1523930,envases,0,OK,2021-10-06T10:16:19
1523928,resto,2,OK,2021-10-06T10:23:24
1523915,resto,4,OK,2021-10-06T10:54:15
1523913,resto,0,OK,2021-10-06T09:49:58
1523910,resto,0,OK,2021-10-06T10:45:15
1523917,envases,0,OK,2021-10-06T09:53:17
1523909,resto,2,OK,2021-10-06T10:29:12
1523934,envases,0,OK,2021-10-06T10:01:41
1523932,resto,0,OK,2021-10-06T09:49:35
1523933,resto,2,OK,2021-10-06T10:52:25
1523918,envases,6,OK,2021-10-06T09:57:28
1523941,envases,0,OK,2021-10-06T10:19:40
1523940,resto,0,OK,2021-10-06T10:51:33
1523939,resto,2,OK,2021-10-06T10:29:13
1523938,envases,4,OK,2021-10-06T06:07:40
1523916,resto,4,OK,2021-10-06T10:36:07
1523944,envases,6,OK,2021-10-06T10:41:51
1523943,envases,2,OK,2021-10-06T10:41:29
1523942,resto,0,OK,2021-10-06T10:17:25
1523946,resto,2,ERROR,2021-10-06T10:36:29
1523949,resto,6,OK,2021-10-06T10:56:31
1523948,resto,2,OK,2021-10-06T01:23:25
1523950,resto,0,OK,2021-10-06T09:53:55
1523954,resto,0,OK,2021-10-06T02:41:06
1523955,resto,6,OK,2021-10-06T09:50:33
1523959,envases,0,OK,2021-10-06T10:19:34
1523951,envases,0,OK,2021-10-06T11:01:25
1523931,envases,0,OK,2021-10-06T10:09:06
1523947,resto,2,OK,2021-10-06T10:59:26
1523935,resto,2,OK,2021-10-06T10:05:49
1523945,resto,4,OK,2021-10-06T09:25:24
1523952,envases,0,OK,2021-10-06T09:27:47
1523960,resto,0,OK,2021-10-06T09:50:53
1523964,resto,2,OK,2021-10-06T10:24:45
1523965,resto,0,OK,2021-10-06T10:42:26
1523961,envases,0,OK,2021-10-06T11:00:56
1523957,resto,4,OK,2021-10-06T09:44:22
1523956,envases,2,OK,2021-10-06T10:16:56
1523958,envases,0,OK,2021-10-06T09:50:57
1523920,envases,0,OK,2021-10-06T09:31:08
1524019,resto,0,OK,2021-10-06T10:42:03
1524018,envases,0,OK,2021-10-06T10:12:15
1524022,envases,0,OK,2021-10-06T10:36:00
1524020,resto,0,OK,2021-10-06T10:42:15
1524021,resto,2,OK,2021-10-06T10:16:40
1524023,envases,0,OK,2021-10-06T09:50:50
1524025,resto,0,OK,2021-10-06T09:39:54
1524024,resto,0,OK,2021-10-06T10:17:31
1524026,envases,0,OK,2021-10-06T09:46:12
1524027,envases,6,OK,2021-10-06T10:42:36
1524028,envases,0,OK,2021-10-06T10:27:40
1524029,resto,6,OK,2021-10-06T10:10:20
1524031,resto,4,OK,2021-10-06T10:37:44
1524030,envases,0,OK,2021-10-06T09:23:30
1524032,resto,6,OK,2021-10-06T10:20:14
1524034,envases,0,OK,2021-10-06T11:00:40
1524035,resto,6,OK,2021-10-06T10:55:39
1524037,resto,4,OK,2021-10-06T10:28:46
1524040,resto,2,OK,2021-10-06T10:30:28
1524039,envases,6,OK,2021-10-06T03:37:49
1524042,resto,0,OK,2021-10-06T11:00:33
1524041,envases,0,OK,2021-10-06T09:55:38
1524044,envases,2,OK,2021-10-06T10:59:19
1524047,resto,0,OK,2021-10-06T10:57:08
1524048,envases,0,OK,2021-10-06T10:44:01
1524049,envases,2,OK,2021-10-06T09:42:19
1524050,resto,2,OK,2021-10-06T10:44:06
1524051,resto,0,OK,2021-10-06T03:01:34
1524053,resto,2,OK,2021-10-06T10:08:48
1524054,resto,2,OK,2021-10-06T10:09:31
1524056,envases,0,OK,2021-10-06T10:31:14
1524057,envases,0,OK,2021-10-06T10:48:20
1524058,envases,0,OK,2021-10-06T09:31:44
1524061,envases,4,OK,2021-10-06T10:32:42
1524060,resto,2,OK,2021-10-06T10:23:19
1524064,resto,0,OK,2021-10-06T10:48:34
1524062,resto,0,OK,2021-10-06T10:03:43
1524065,envases,6,OK,2021-10-06T10:01:21
1524068,resto,4,OK,2021-10-06T11:04:59
1524069,envases,4,OK,2021-10-06T10:56:06
1524066,envases,0,OK,2021-10-06T11:00:19
1524072,envases,6,OK,2021-10-06T10:00:54
1524073,resto,0,OK,2021-10-06T10:16:16
1524074,resto,4,OK,2021-10-06T09:00:04
1524075,resto,2,OK,2021-10-06T10:01:59
1524076,envases,6,OK,2021-10-06T09:38:53
1524078,resto,0,OK,2021-10-06T08:46:16
1524077,envases,0,OK,2021-10-06T11:03:28
1524079,envases,2,OK,2021-10-06T09:51:26
1524082,envases,0,OK,2021-10-06T09:25:08
1524081,envases,0,OK,2021-10-06T03:42:11
1524083,envases,0,OK,2021-10-06T09:49:38
1524085,resto,0,OK,2021-10-06T10:01:06
1524089,resto,2,OK,2021-10-06T09:27:40
1524088,envases,0,OK,2021-10-06T09:37:31
1524091,resto,0,OK,2021-10-06T05:26:27
1524096,envases,0,OK,2021-10-06T09:36:32
1524094,envases,0,OK,2021-10-06T04:08:24
1524095,resto,0,OK,2021-10-06T10:44:53
1524097,envases,0,OK,2021-10-06T09:48:48
1524098,resto,0,OK,2021-10-06T10:01:41
1524101,resto,2,OK,2021-10-06T09:43:14
1524100,resto,2,ERROR,2021-10-06T10:39:21
1524102,resto,0,OK,2021-10-06T02:27:10
1524103,envases,6,OK,2021-10-06T10:15:10
1524104,resto,0,OK,2021-10-06T10:09:48
1524106,resto,2,OK,2021-10-06T10:11:21
1524105,resto,0,OK,2021-10-06T10:15:37
1524108,resto,2,OK,2021-10-06T10:00:36
1524107,envases,0,OK,2021-10-06T09:59:12
1524109,envases,0,OK,2021-10-06T09:33:08
1524110,resto,4,OK,2021-10-06T09:57:22
1524113,resto,6,OK,2021-10-06T10:30:40
1524111,resto,2,OK,2021-10-06T10:30:07
1524114,resto,8,LLENA,2021-10-06T10:54:52
1524099,resto,2,OK,2021-10-06T10:10:49
1524112,envases,6,OK,2021-10-06T10:28:46
1524116,envases,0,OK,2021-10-06T09:53:08
1524115,resto,0,OK,2021-10-06T09:37:51
1524120,envases,6,OK,2021-10-06T10:13:47
1524122,envases,4,OK,2021-10-06T10:00:22
1524121,envases,0,OK,2021-10-06T10:28:53
1524123,resto,4,ERROR,2021-10-06T10:37:56
1524124,resto,4,OK,2021-10-06T09:58:28
1524125,resto,4,OK,2021-10-06T10:20:52
1524126,envases,0,OK,2021-10-06T09:31:10
1524128,envases,2,OK,2021-10-06T09:42:30
1524127,envases,8,LLENA,2021-10-06T10:10:57
1524130,envases,0,OK,2021-10-06T10:28:27
1524131,envases,0,OK,2021-10-06T10:00:41
1524133,resto,4,OK,2021-10-06T10:29:41
1524132,envases,0,OK,2021-10-06T11:00:12
1524135,resto,2,OK,2021-10-06T10:09:57
1524136,envases,6,OK,2021-10-06T10:06:08
1524137,resto,2,OK,2021-10-06T10:00:00
1524134,envases,6,OK,2021-10-06T09:59:35
1524139,envases,0,OK,2021-10-06T10:28:32
1524138,resto,0,OK,2021-10-06T10:26:44
1524140,resto,0,OK,2021-10-06T09:32:57
1524141,resto,2,OK,2021-10-06T10:09:19
1524142,resto,0,OK,2021-10-06T10:58:59
1524144,resto,4,OK,2021-10-06T10:00:34
1524145,envases,0,OK,2021-10-06T10:19:18
1524146,resto,0,OK,2021-10-06T10:16:57
1524147,resto,0,OK,2021-10-06T10:14:14
1524148,resto,8,LLENA,2021-10-06T09:51:59
1524150,resto,0,OK,2021-10-06T10:27:16
1524149,resto,0,OK,2021-10-06T10:43:19
1524151,resto,2,OK,2021-10-06T10:44:51
1524152,resto,8,LLENA,2021-10-06T09:54:01
1524153,resto,2,OK,2021-10-06T10:19:14
1524154,resto,4,OK,2021-10-06T09:30:12
1524155,envases,0,OK,2021-10-06T10:57:45
1524156,resto,6,OK,2021-10-06T10:20:28
1524157,envases,0,OK,2021-10-06T11:01:41
1524158,resto,4,OK,2021-10-06T09:38:20
1524159,resto,2,OK,2021-10-06T09:42:00
1524160,resto,2,OK,2021-10-06T09:49:42
1524161,resto,0,OK,2021-10-06T09:38:49
1524162,resto,0,OK,2021-10-06T10:57:39
1524163,resto,2,OK,2021-10-06T09:35:15
1524164,envases,0,OK,2021-10-06T09:53:37
1524165,envases,0,OK,2021-10-06T10:09:15
1524166,resto,2,OK,2021-10-06T10:36:21
1524168,resto,4,OK,2021-10-06T09:34:42
1524167,envases,0,OK,2021-10-06T09:33:20
1524170,envases,0,OK,2021-10-06T09:52:44
1524169,resto,0,OK,2021-10-06T09:37:56
1524171,envases,0,OK,2021-10-06T10:33:07
1524172,resto,4,OK,2021-10-06T10:55:35
1524174,envases,0,OK,2021-10-06T10:04:56
1524173,resto,2,OK,2021-10-06T09:57:09
1524175,envases,4,OK,2021-10-06T09:53:07
1524176,resto,2,ERROR,2021-10-06T10:40:29
1524178,resto,2,OK,2021-10-06T09:39:06
1524179,envases,4,OK,2021-10-06T09:54:51
1524181,resto,4,OK,2021-10-06T11:04:11
1524182,resto,2,OK,2021-10-06T10:01:07
1524183,resto,2,OK,2021-10-06T09:55:51
1524043,envases,0,OK,2021-10-06T09:49:17
1524184,resto,4,OK,2021-10-06T10:48:00
1524185,resto,0,OK,2021-10-06T10:53:51
1524186,resto,2,OK,2021-10-06T08:38:29
1524187,resto,0,OK,2021-10-06T09:31:48
1524277,envases,4,OK,2021-10-06T10:48:30
1524278,resto,4,OK,2021-10-06T10:15:19
1524279,envases,0,OK,2021-10-06T09:46:43
1524282,envases,0,OK,2021-10-06T10:44:45
1524283,envases,4,OK,2021-10-06T10:25:28
1524284,envases,0,OK,2021-10-06T10:51:57
1524285,envases,0,OK,2021-10-06T09:27:06
1524286,envases,6,OK,2021-10-06T09:39:59
1524287,resto,4,OK,2021-10-06T10:03:12
1524288,envases,0,OK,2021-10-06T10:22:54
1524289,resto,2,OK,2021-10-06T10:08:49
1524291,envases,0,OK,2021-10-06T09:26:48
1524290,resto,2,OK,2021-10-06T10:48:52
1524293,resto,0,OK,2021-10-06T11:01:27
1524300,resto,2,OK,2021-10-06T10:25:22
1524298,resto,0,OK,2021-10-06T09:51:01
1524297,envases,2,OK,2021-10-06T09:59:48
1524305,resto,0,OK,2021-10-06T10:41:11
1524303,resto,4,OK,2021-10-06T11:03:50
1524309,envases,2,OK,2021-10-06T10:27:01
1524306,resto,0,OK,2021-10-06T10:59:56
1524311,envases,4,OK,2021-10-06T10:29:48
1524312,resto,4,OK,2021-10-06T10:27:13
1524313,resto,2,OK,2021-10-06T09:30:00
1524308,resto,4,OK,2021-10-06T10:02:48
1524317,resto,0,OK,2021-10-06T10:03:45
1524319,resto,4,OK,2021-10-06T11:00:48
1524301,resto,0,OK,2021-10-06T09:27:31
1524321,resto,0,OK,2021-10-06T09:33:53
1524320,envases,4,OK,2021-10-06T10:27:40
1524322,envases,0,OK,2021-10-06T10:13:35
1524324,resto,2,OK,2021-10-06T07:58:26
1524328,resto,0,OK,2021-10-06T09:49:04
1524333,envases,6,OK,2021-10-06T10:20:28
1524334,resto,0,OK,2021-10-06T09:51:45
1524338,envases,0,OK,2021-10-06T09:59:00
1524341,resto,2,OK,2021-10-06T09:53:27
1524335,envases,0,OK,2021-10-06T09:55:09
1524342,envases,4,OK,2021-10-06T09:40:11
1524343,resto,0,OK,2021-10-06T09:36:23
1524350,resto,0,OK,2021-10-06T11:04:16
1524351,resto,0,OK,2021-10-06T10:44:47
1524354,envases,0,OK,2021-10-06T09:35:05
1524363,resto,0,OK,2021-10-06T10:37:33
1524360,envases,2,OK,2021-10-06T10:58:11
1524361,resto,0,OK,2021-10-06T09:38:25
1524372,resto,0,OK,2021-10-06T10:58:58
1524369,envases,2,OK,2021-10-06T10:23:41
1524380,resto,0,OK,2021-10-06T10:15:25
